1 NONTERMINAL NP+ADVP
254 NONTERMINAL VP+VERB
65 NONTERMINAL SBAR
81 NONTERMINAL ADJP
30 NONTERMINAL WHADVP
1808 NONTERMINAL DET
1 NONTERMINAL S+VP+VERB
2 NONTERMINAL NP+VERB
817 NONTERMINAL WHNP+PRON
2 NONTERMINAL NP+S
11 NONTERMINAL SBAR+S
3 NONTERMINAL NP+X
3 NONTERMINAL NP+NP
17 NONTERMINAL X
251 NONTERMINAL SQ+VP
68 NONTERMINAL CONJ
114 NONTERMINAL NP+PRON
301 NONTERMINAL WHADVP+ADV
1 NONTERMINAL PP+NOUN
1024 NONTERMINAL PP
3852 NONTERMINAL NOUN
4 NONTERMINAL NP+ADJ
27 NONTERMINAL PRT+PRT
24 NONTERMINAL WHPP
1 NONTERMINAL WHNP+WHNP
14 NONTERMINAL ADVP
2032 NONTERMINAL .
1 NONTERMINAL NX
280 NONTERMINAL PRT
103 NONTERMINAL NUM
50 NONTERMINAL NP+NUM
4813 NONTERMINAL NP
1 NONTERMINAL NP+SBAR+S
25 NONTERMINAL NP+DET
244 NONTERMINAL ADV
16 NONTERMINAL VP+NOUN
19 NONTERMINAL ADJP+ADJ
1010 NONTERMINAL ADP
1 NONTERMINAL NP+PP
1 NONTERMINAL PP+PP+ADP
803 NONTERMINAL VP
6 NONTERMINAL PP+PRT
3405 NONTERMINAL SBARQ
2349 NONTERMINAL VERB
1 NONTERMINAL NP+S+VP
1 NONTERMINAL SBAR+VP
656 NONTERMINAL NP+NOUN
2 NONTERMINAL NP+QP
916 NONTERMINAL ADJ
23 NONTERMINAL WHNP+DET
10 NONTERMINAL SBAR+S+VP
7 NONTERMINAL QP
2081 NONTERMINAL SQ
38 NONTERMINAL ADVP+ADV
85 NONTERMINAL S
124 NONTERMINAL WHADJP
569 NONTERMINAL WHNP
73 NONTERMINAL PRON
90 NONTERMINAL S+VP
1 NONTERMINAL VP+S+VP
2 NONTERMINAL ADVP+ADJ
113 NONTERMINAL PP+ADP
2 UNARYRULE VP+VERB play
8 UNARYRULE PRON their
20 UNARYRULE VERB were
8 UNARYRULE NOUN moon
4 UNARYRULE NOUN rain
5 UNARYRULE NP+NOUN Mars
2 UNARYRULE ADJ musical
6 UNARYRULE ADJ Spanish
10 UNARYRULE VERB call
30 UNARYRULE DET an
380 UNARYRULE ADP of
13 UNARYRULE NOUN fear
1 UNARYRULE ADJ New
9 UNARYRULE NOUN film
2 UNARYRULE ADV Where
5 UNARYRULE ADJ fastest
1 UNARYRULE ADVP+ADV best
90 UNARYRULE WHADVP+ADV Where
2 UNARYRULE NP+NOUN year
1 UNARYRULE NOUN I
2 UNARYRULE NP+NOUN rain
1 UNARYRULE NP+NOUN Washington
6 UNARYRULE ADJ different
7 UNARYRULE NOUN countries
1 UNARYRULE NP+NOUN animal
17 UNARYRULE ADP In
1 UNARYRULE NOUN cost
3 UNARYRULE NOUN types
62 UNARYRULE ADJ first
4 UNARYRULE NOUN miles
2 UNARYRULE VP+VERB form
1 UNARYRULE PRT+PRT into
38 UNARYRULE VERB has
4 UNARYRULE VP+VERB do
9 UNARYRULE ADJ best
9 UNARYRULE NOUN person
2 UNARYRULE NOUN mean
11 UNARYRULE NOUN word
9 UNARYRULE NOUN John
33 UNARYRULE NP+PRON I
11 UNARYRULE VERB invented
9 UNARYRULE ADJ national
7 UNARYRULE NOUN date
2 UNARYRULE NP+NOUN London
7 UNARYRULE ADJ average
14 UNARYRULE VERB used
4 UNARYRULE NOUN play
60 UNARYRULE CONJ and
3 UNARYRULE VP+VERB open
1 UNARYRULE NOUN Liberty
11 UNARYRULE NOUN River
11 UNARYRULE NOUN origin
6 UNARYRULE NOUN North
6 UNARYRULE NOUN currency
1 UNARYRULE PP+NOUN _RARE_
4 UNARYRULE PP+ADP with
47 UNARYRULE NP+PRON you
3 UNARYRULE ADJ long
6 UNARYRULE ADP after
5 UNARYRULE ADJ black
667 UNARYRULE VERB is
5 UNARYRULE DET some
3 UNARYRULE NP+NOUN baseball
32 UNARYRULE NOUN world
13 UNARYRULE PRT <
1 UNARYRULE ADJ capital
11 UNARYRULE NOUN sun
1 UNARYRULE NP+DET that
28 UNARYRULE DET Which
11 UNARYRULE VERB makes
50 UNARYRULE NOUN city
4 UNARYRULE VP+VERB made
5 UNARYRULE VERB killed
3 UNARYRULE NOUN musical
4 UNARYRULE NP+NOUN Spanish
22 UNARYRULE ADJ American
6 UNARYRULE VERB use
2 UNARYRULE WHADVP+ADV how
69 UNARYRULE ADP on
1 UNARYRULE NP+DET _RARE_
3 UNARYRULE NOUN Earth
5 UNARYRULE ADV long
4 UNARYRULE NOUN Africa
21 UNARYRULE NP+DET there
1 UNARYRULE VERB begin
7 UNARYRULE NOUN actor
5 UNARYRULE PRON What
5 UNARYRULE NP+PRON he
1 UNARYRULE VERB work
13 UNARYRULE DET what
3 UNARYRULE NOUN form
2 UNARYRULE WHNP+DET which
5 UNARYRULE VERB had
5 UNARYRULE VERB been
40 UNARYRULE PP+ADP in
1 UNARYRULE WHNP+PRON _RARE_
1 UNARYRULE PRT+PRT place
4 UNARYRULE ADJ French
6 UNARYRULE NUM four
1 UNARYRULE WHNP+PRON Which
154 UNARYRULE VERB did
6 UNARYRULE NOUN money
8 UNARYRULE NOUN movie
108 UNARYRULE VERB does
6 UNARYRULE NOUN system
1 UNARYRULE PP+PP+ADP in
43 UNARYRULE NOUN U.S.
6 UNARYRULE VERB founded
4 UNARYRULE VP+VERB begin
3 UNARYRULE NOUN Canada
4 UNARYRULE NP+NOUN Liberty
4 UNARYRULE VERB write
18 UNARYRULE VERB made
5 UNARYRULE ADP about
3 UNARYRULE ADJ Great
5 UNARYRULE VERB causes
1 UNARYRULE NP+NOUN color
5 UNARYRULE ADJ female
16 UNARYRULE VERB known
1 UNARYRULE NOUN work
3 UNARYRULE NOUN office
3 UNARYRULE VERB run
5 UNARYRULE VERB wrote
20 UNARYRULE VERB stand
4 UNARYRULE NP+NOUN England
8 UNARYRULE VERB being
1 UNARYRULE NP+ADJ black
3 UNARYRULE VP+VERB buried
10 UNARYRULE NOUN kind
8 UNARYRULE NOUN St.
1 UNARYRULE ADJ West
5 UNARYRULE VERB win
10 UNARYRULE NOUN baseball
2 UNARYRULE NOUN National
16 UNARYRULE NUM two
14 UNARYRULE ADJ most
5 UNARYRULE VERB should
1 UNARYRULE VP+VERB killed
1 BINARYRULE VP VERB SBAR+VP
4 BINARYRULE VP VERB NP+PRON
1 BINARYRULE SBAR+S+VP PRT VP+VERB
63 BINARYRULE SQ VERB VP
1 BINARYRULE SQ ADVP+ADV VP+VERB
1 BINARYRULE VP PP WHPP
1 BINARYRULE NP VERB NP+NOUN
1 BINARYRULE SBARQ SBARQ .
7 BINARYRULE ADJP DET ADJ
1436 BINARYRULE SBARQ SQ .
21 BINARYRULE NP CONJ NOUN
165 BINARYRULE NP NOUN PRT
12 BINARYRULE S+VP VERB NP
41 BINARYRULE NP NOUN PP
30 BINARYRULE PP PRT NP
77 BINARYRULE VP VERB PP+ADP
71 BINARYRULE SQ VERB NP+NOUN
506 BINARYRULE NP NP PP
2 BINARYRULE SQ PP PP
141 BINARYRULE VP VERB PP
4 BINARYRULE S . .
2 BINARYRULE PP PRT NP+NUM
1 BINARYRULE SQ NP+ADJ SQ
1 BINARYRULE VP NP ADJP+ADJ
2 BINARYRULE ADJP CONJ ADJ
1 BINARYRULE VP NP+NOUN PRT+PRT
26 BINARYRULE SBARQ WHADVP SBARQ
1 BINARYRULE PP ADP NP+QP
601 BINARYRULE PP ADP NP
3 BINARYRULE SQ+VP VERB SBAR+S
2 BINARYRULE VP VERB WHNP
42 BINARYRULE SBARQ WHADJP SBARQ
3 BINARYRULE WHNP PRON NP
20 BINARYRULE WHADVP ADV ADV
1 BINARYRULE VP NP VP+VERB
6 BINARYRULE VP PRT+PRT VP
1 BINARYRULE PP NP+NUM PP
1 BINARYRULE ADJP NUM NOUN
1 BINARYRULE SQ NP+NOUN VP+NOUN
1 BINARYRULE PP PRT NP+DET
14 BINARYRULE VP VERB VP+VERB
1 BINARYRULE SQ NP+S VP
1 BINARYRULE NP NOUN PP+ADP
1 BINARYRULE VP VERB NP+SBAR+S
7 BINARYRULE S NP+PRON VP+VERB
1 BINARYRULE SQ NP+NP VP+VERB
1 BINARYRULE NP NOUN ADVP+ADV
477 BINARYRULE NP ADJ NOUN
1 BINARYRULE SQ ADJP+ADJ PP
4 BINARYRULE VP PRT VP+VERB
1 BINARYRULE VP NP+NUM PP
1 BINARYRULE SBAR+S NP VP+VERB
1 BINARYRULE VP VERB .
21 BINARYRULE WHPP ADP WHNP
1 BINARYRULE SQ VP SBAR
8 BINARYRULE SQ VERB NP+DET
1 BINARYRULE VP NOUN PP+ADP
5 BINARYRULE NP NP PP+ADP
1 BINARYRULE NP+NP . NP
1 BINARYRULE NP CONJ NP+NUM
2 BINARYRULE VP PP NP
13 BINARYRULE SQ NP VP+NOUN
11 BINARYRULE S+VP VERB PP
2 BINARYRULE VP ADVP+ADV PP
1 BINARYRULE VP VERB WHADJP
1 BINARYRULE VP NP SBAR
2 BINARYRULE SQ+VP ADVP+ADV VP
4 BINARYRULE SQ VP PP
1 BINARYRULE VP PRT+PRT WHPP
2 BINARYRULE VP PP+ADP PP
7 BINARYRULE SBARQ WHNP SQ
3 BINARYRULE VP PRT+PRT PP
1 BINARYRULE SBAR WHPP S
4 BINARYRULE WHNP ADV ADV
3 BINARYRULE S+VP . VP
3 BINARYRULE NP VERB NP
118 BINARYRULE WHADJP ADV ADJ
22 BINARYRULE SQ+VP VERB PP
75 BINARYRULE SQ NP+PRON VP
1 BINARYRULE SBAR WHNP+DET S+VP+VERB
2 BINARYRULE S+VP VERB S
31 BINARYRULE NP NP+NOUN PP
653 BINARYRULE SQ VERB NP
25 BINARYRULE NP CONJ NP
2 BINARYRULE QP ADV NUM
1 BINARYRULE ADJP ADJ PRT+PRT
3 BINARYRULE NP . PRON
1 BINARYRULE ADVP ADV NP
35 BINARYRULE S+VP PRT VP
2 BINARYRULE ADJP ADJ NOUN
1 BINARYRULE S+VP VERB ADVP+ADV
5 BINARYRULE SQ NP SQ
3 BINARYRULE VP NP+NOUN S+VP
14 BINARYRULE NP PRON NP
1 BINARYRULE NX NOUN NOUN
10 BINARYRULE NP NP SBAR+S+VP
1 BINARYRULE SBARQ WHNP+WHNP SBARQ
1 BINARYRULE VP PRT+PRT SBARQ
1 BINARYRULE SQ NP+NOUN ADJP
1 BINARYRULE ADJP ADJ VP
1 BINARYRULE VP NP+PRON ADJP+ADJ
4 BINARYRULE PP ADP NOUN
2 BINARYRULE VP ADV VERB
1 BINARYRULE SQ+VP VERB S
4 BINARYRULE WHNP ADJ NOUN
2 BINARYRULE SQ NP+NOUN NP
2 BINARYRULE PP ADP SBAR
1 BINARYRULE VP NOUN NP+NOUN
1 BINARYRULE VP NOUN PP
3 BINARYRULE SBARQ SBAR SBARQ
2 BINARYRULE SQ NP ADJP
14 BINARYRULE PP ADP S+VP
1 BINARYRULE ADVP ADV .
1 BINARYRULE SQ ADJP SBAR
1 BINARYRULE VP NP+NP PP
1 BINARYRULE NP NP+NUM NP
770 BINARYRULE NP NOUN NOUN
1 BINARYRULE SBAR+S NP+PRON VP+VERB
8 BINARYRULE VP VERB PRT+PRT
1 BINARYRULE S+VP VP VP
3 BINARYRULE VP PRT+PRT NP
1 BINARYRULE NP X NOUN
18 BINARYRULE VP NP VP
1 BINARYRULE SBAR WHNP S
2 BINARYRULE VP S PP
21 BINARYRULE NP NP VP
1 BINARYRULE VP NP+NOUN VP
3 BINARYRULE VP CONJ VP
2 BINARYRULE NP . ADJP+ADJ
20 BINARYRULE VP PP PP
1 BINARYRULE S+VP VERB ADJP
4 BINARYRULE ADVP ADV ADV
2 BINARYRULE NP . NUM
1 BINARYRULE NP ADJP .
1 BINARYRULE NP . PP
3 BINARYRULE SQ NP+PRON PP
4 BINARYRULE NP NP NP+NOUN
3 BINARYRULE VP VERB PP+PRT
25 BINARYRULE S VP .
1 BINARYRULE VP NP+NOUN SBAR
3 BINARYRULE VP NP PP+ADP
3 BINARYRULE VP VERB ADVP+ADV
11 BINARYRULE S+VP VERB VP
1 BINARYRULE VP NP+NOUN VP+VERB
1 BINARYRULE SQ . PP
10 BINARYRULE ADJP ADJ PP
1 BINARYRULE WHNP NOUN ADJ
1 BINARYRULE S PP S
11 BINARYRULE NP NP S+VP
1 BINARYRULE PP ADV ADP
1 BINARYRULE ADJP ADJ .
1 BINARYRULE ADJP NOUN ADJP
1 BINARYRULE SQ+VP VP PP
1 BINARYRULE VP VP PP
7 BINARYRULE SBARQ . SBARQ
11 BINARYRULE PP PP PP
10 BINARYRULE SBAR WHADVP+ADV S
766 BINARYRULE NP DET NP
85 BINARYRULE NP NP NOUN
1 BINARYRULE ADJP NOUN ADJ
2 BINARYRULE SBARQ SQ SBARQ
79 BINARYRULE SQ+VP VERB VP
2 BINARYRULE SBARQ SBARQ SBARQ
1 BINARYRULE SQ VERB S+VP
3 BINARYRULE VP ADV VP
2 BINARYRULE SQ NP VERB
26 BINARYRULE NP ADJP NOUN
1 BINARYRULE ADJP NUM ADJ
3 BINARYRULE NP NP+DET PP
17 BINARYRULE SBAR WHNP+DET S+VP
808 BINARYRULE SBARQ WHNP+PRON SBARQ
1 BINARYRULE S NP+NUM VP
1 BINARYRULE WHPP PRT WHNP+DET
505 BINARYRULE SBARQ WHNP SBARQ
1 BINARYRULE SBARQ WHNP+DET SBARQ
2 BINARYRULE NP ADJ ADJ
1 BINARYRULE NP NOUN ADV
3 BINARYRULE WHNP NOUN NOUN
1 BINARYRULE NP DET X
3 BINARYRULE SQ NP+NOUN PP
4 BINARYRULE VP ADVP+ADV VP+VERB
1 BINARYRULE VP . NP+S
1 BINARYRULE WHNP NP NOUN
9 BINARYRULE SQ NP PP
1 BINARYRULE NP NP PP+PRT
3 BINARYRULE VP NP S+VP
1 BINARYRULE ADJP ADVP VERB
263 BINARYRULE WHNP DET NOUN
1 BINARYRULE SQ NP+NOUN ADJP+ADJ
13 BINARYRULE SQ NP+DET PP
2 BINARYRULE VP ADJP PP
2 BINARYRULE SBAR+S NP+PRON VP
1 BINARYRULE NP+SBAR+S ADVP+ADV S
1 BINARYRULE SQ+VP VP VP
4 BINARYRULE SQ NP+PRON SQ
619 BINARYRULE SQ VERB SQ
1 BINARYRULE SQ VERB VP+VERB
18 BINARYRULE SQ VERB PP
286 BINARYRULE PP ADP NP+NOUN
1 BINARYRULE ADJP . ADJ
2 BINARYRULE VP VERB ADJP
2 BINARYRULE SBARQ CONJ SBARQ
1 BINARYRULE SBAR SQ+VP .
1 BINARYRULE PP . PP
1 BINARYRULE NP NP WHPP
1 BINARYRULE NP NUM NUM
1 BINARYRULE VP . S
1 BINARYRULE VP ADV NP
579 BINARYRULE NP DET NOUN
1 BINARYRULE NP NP+NOUN .
5 BINARYRULE SBAR+S NP VP
7 BINARYRULE S+VP PRT VP+VERB
62 BINARYRULE SQ NP+NOUN VP
1 BINARYRULE SQ NP NP+NOUN
8 BINARYRULE SQ VERB ADJP
1 BINARYRULE VP NP ADVP
1 BINARYRULE ADJP ADJP ADJP
1 BINARYRULE SQ VERB ADJP+ADJ
8 BINARYRULE SQ NP NP
1 BINARYRULE NP ADJ NP+NOUN
9 BINARYRULE SBAR+S+VP PRT VP
1 BINARYRULE WHPP PRT WHNP+PRON
